t,phi
3.939999999999959979e+00,-2.500441971084232051e+00
3.949999999999959766e+00,-2.502900408472404692e+00
3.959999999999959552e+00,-2.505352816765309854e+00
3.969999999999959339e+00,-2.507799225462238990e+00
3.979999999999959126e+00,-2.510239663846510094e+00
3.989999999999958913e+00,-2.512674160987570460e+00
3.999999999999958700e+00,-2.515102745743073687e+00
4.009999999999958931e+00,-2.517525446760932706e+00
4.019999999999958717e+00,-2.519942292481347934e+00
4.029999999999958504e+00,-2.522353311138809673e+00
4.039999999999958291e+00,-2.524758530764076969e+00
4.049999999999958078e+00,-2.527157979186134273e+00
4.059999999999957865e+00,-2.529551684034121894e+00
4.069999999999957652e+00,-2.531939672739246472e+00
4.079999999999957438e+00,-2.534321972536665690e+00
4.089999999999957225e+00,-2.536698610467352566e+00
4.099999999999957012e+00,-2.539069613379937529e+00
4.109999999999956799e+00,-2.541435007932527856e+00
4.119999999999956586e+00,-2.543794820594505790e+00
4.129999999999956373e+00,-2.546149077648306669e+00
4.139999999999956160e+00,-2.548497805191174415e+00
4.149999999999955946e+00,-2.550841029136897475e+00
4.159999999999955733e+00,-2.553178775217524787e+00
4.169999999999955520e+00,-2.555511068985060863e+00
4.179999999999955307e+00,-2.557837935813141783e+00
4.189999999999955094e+00,-2.560159400898690762e+00
4.199999999999954881e+00,-2.562475489263556838e+00
4.209999999999954667e+00,-2.564786225756131355e+00
4.219999999999954454e+00,-2.567091635052948462e+00
4.229999999999954241e+00,-2.569391741660266071e+00
4.239999999999954028e+00,-2.571686569915629050e+00
4.249999999999953815e+00,-2.573976143989414211e+00
4.259999999999953602e+00,-2.576260487886357531e+00
4.269999999999953388e+00,-2.578539625447064942e+00
4.279999999999953175e+00,-2.580813580349504921e+00
4.289999999999952962e+00,-2.583082376110483303e+00
4.299999999999952749e+00,-2.585346036087104338e+00
4.309999999999952536e+00,-2.587604583478212650e+00
4.319999999999952323e+00,-2.589858041325819649e+00
4.329999999999952109e+00,-2.592106432516514403e+00
4.339999999999951896e+00,-2.594349779782857635e+00
4.349999999999951683e+00,-2.596588105704761507e+00
4.359999999999951470e+00,-2.598821432710853419e+00
4.369999999999951257e+00,-2.601049783079823374e+00
4.379999999999951044e+00,-2.603273178941758026e+00
4.389999999999950830e+00,-2.605491642279460507e+00
4.399999999999950617e+00,-2.607705194929752501e+00
4.409999999999950404e+00,-2.609913858584765656e+00
4.419999999999950191e+00,-2.612117654793215671e+00
4.429999999999949978e+00,-2.614316604961664847e+00
4.439999999999949765e+00,-2.616510730355769532e+00
4.449999999999949551e+00,-2.618700052101512910e+00
4.459999999999949338e+00,-2.620884591186427137e+00
4.469999999999949125e+00,-2.623064368460799489e+00
4.479999999999948912e+00,-2.625239404638866958e+00
4.489999999999948699e+00,-2.627409720299996643e+00
4.499999999999948486e+00,-2.629575335889854593e+00
4.509999999999948272e+00,-2.631736271721561771e+00
4.519999999999948059e+00,-2.633892547976836696e+00
4.529999999999947846e+00,-2.636044184707126092e+00
4.539999999999947633e+00,-2.638191201834724886e+00
4.549999999999947420e+00,-2.640333619153881983e+00
4.559999999999947207e+00,-2.642471456331894952e+00
4.569999999999946994e+00,-2.644604732910194933e+00
4.579999999999946780e+00,-2.646733468305416004e+00
4.589999999999946567e+00,-2.648857681810457887e+00
4.599999999999946354e+00,-2.650977392595533999e+00
4.609999999999946141e+00,-2.653092619709209288e+00
4.619999999999945928e+00,-2.655203382079426966e+00
4.629999999999945715e+00,-2.657309698514526808e+00
4.639999999999945501e+00,-2.659411587704247903e+00
4.649999999999945288e+00,-2.661509068220726082e+00
4.659999999999945075e+00,-2.663602158519477570e+00
4.669999999999944862e+00,-2.665690876940372434e+00
4.679999999999944649e+00,-2.667775241708600475e+00
4.689999999999944436e+00,-2.669855270935624691e+00
4.699999999999944222e+00,-2.671930982620124517e+00
4.709999999999944009e+00,-2.674002394648932412e+00
4.719999999999943796e+00,-2.676069524797956678e+00
4.729999999999943583e+00,-2.678132390733097612e+00
4.739999999999943370e+00,-2.680191010011153452e+00
4.749999999999943157e+00,-2.682245400080716990e+00
4.759999999999942943e+00,-2.684295578283062422e+00
4.769999999999942730e+00,-2.686341561853024196e+00
4.779999999999942517e+00,-2.688383367919865652e+00
4.789999999999942304e+00,-2.690421013508140557e+00
4.799999999999942091e+00,-2.692454515538543980e+00
4.809999999999941878e+00,-2.694483890828755168e+00
4.819999999999941664e+00,-2.696509156094272441e+00
4.829999999999941451e+00,-2.698530327949240082e+00
4.839999999999941238e+00,-2.700547422907264572e+00
4.849999999999941025e+00,-2.702560457382225056e+00
4.859999999999940812e+00,-2.704569447689075368e+00
4.869999999999940599e+00,-2.706574410044635837e+00
4.879999999999940385e+00,-2.708575360568379331e+00
4.889999999999940172e+00,-2.710572315283209743e+00
4.899999999999939959e+00,-2.712565290116231154e+00
4.909999999999939746e+00,-2.714554300899508998e+00
4.919999999999939533e+00,-2.716539363370826798e+00
4.929999999999939320e+00,-2.718520493174432229e+00
4.939999999999939106e+00,-2.720497705861776083e+00
4.949999999999938893e+00,-2.722471016892245466e+00
4.959999999999938680e+00,-2.724440441633889876e+00
4.969999999999938467e+00,-2.726405995364138413e+00
4.979999999999938254e+00,-2.728367693270510319e+00
4.989999999999938041e+00,-2.730325550451320638e+00
4.999999999999937828e+00,-2.732279581916375655e+00
5.009999999999937614e+00,-2.734229802587665237e+00
5.019999999999937401e+00,-2.736176227300044506e+00
5.029999999999937188e+00,-2.738118870801913296e+00
5.039999999999936975e+00,-2.740057747755884066e+00
5.049999999999936762e+00,-2.741992872739448028e+00
5.059999999999936549e+00,-2.743924260245631963e+00
5.069999999999936335e+00,-2.745851924683648804e+00
5.079999999999936122e+00,-2.747775880379544233e+00
5.089999999999935909e+00,-2.749696141576833952e+00
5.099999999999935696e+00,-2.751612722437137837e+00
5.109999999999935483e+00,-2.753525637040804774e+00
5.119999999999935270e+00,-2.755434899387534831e+00
5.129999999999935056e+00,-2.757340523396993426e+00
5.139999999999934843e+00,-2.759242522909420181e+00
5.149999999999934630e+00,-2.761140911686232879e+00
5.159999999999934417e+00,-2.763035703410622990e+00
5.169999999999934204e+00,-2.764926911688149858e+00
5.179999999999933991e+00,-2.766814550047324683e+00
5.189999999999933777e+00,-2.768698631940192723e+00
5.199999999999933564e+00,-2.770579170742907937e+00
5.209999999999933351e+00,-2.772456179756301875e+00
5.219999999999933138e+00,-2.774329672206449882e+00
5.229999999999932925e+00,-2.776199661245228878e+00
5.239999999999932712e+00,-2.778066159950872471e+00
5.249999999999932498e+00,-2.779929181328518517e+00
5.259999999999932285e+00,-2.781788738310753573e+00
5.269999999999932072e+00,-2.783644843758151133e+00
5.279999999999931859e+00,-2.785497510459806314e+00
5.289999999999931646e+00,-2.787346751133862988e+00
5.299999999999931433e+00,-2.789192578428039138e+00
5.309999999999931219e+00,-2.791035004920144669e+00
5.319999999999931006e+00,-2.792874043118596994e+00
5.329999999999930793e+00,-2.794709705462928628e+00
5.339999999999930580e+00,-2.796542004324294339e+00
5.349999999999930367e+00,-2.798370952005969414e+00
5.359999999999930154e+00,-2.800196560743846597e+00
5.369999999999929940e+00,-2.802018842706926804e+00
5.379999999999929727e+00,-2.803837809997805852e+00
5.389999999999929514e+00,-2.805653474653156731e+00
5.399999999999929301e+00,-2.807465848644207451e+00
5.409999999999929088e+00,-2.809274943877214881e+00
5.419999999999928875e+00,-2.811080772193933264e+00
5.429999999999928662e+00,-2.812883345372080512e+00
5.439999999999928448e+00,-2.814682675125798728e+00
5.449999999999928235e+00,-2.816478773106109834e+00
5.459999999999928022e+00,-2.818271650901369885e+00
5.469999999999927809e+00,-2.820061320037716701e+00
5.479999999999927596e+00,-2.821847791979514408e+00
5.489999999999927383e+00,-2.823631078129794414e+00
5.499999999999927169e+00,-2.825411189830692837e+00
5.509999999999926956e+00,-2.827188138363881276e+00
5.519999999999926743e+00,-2.828961934950998458e+00
5.529999999999926530e+00,-2.830732590754073019e+00
5.539999999999926317e+00,-2.832500116875946716e+00
5.549999999999926104e+00,-2.834264524360690984e+00
5.559999999999925890e+00,-2.836025824194021716e+00
5.569999999999925677e+00,-2.837784027303709156e+00
5.579999999999925464e+00,-2.839539144559985129e+00
